Track ID,Track Name,Artist,Album,Release Date,Genre,Popularity,Explicit,Danceability,Energy,Key,Key_Mode,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Artist_Followers
SP-000001,Mountain High,Musician_R&B_008,Album_Musician_R&B_008_06,2022-03-04,R&B,100,False,0.8317,0.7886,4,E-Major,-9.8113,1,0.0,0.3401,0.0697,0.1942,0.6781,93.0,183170,4,11001
SP-000002,Sapphire Sky Acoustic,Musician_Latin_001,Album_Musician_Latin_001_07,2014-10-22,Latin,68,False,0.9069,0.4875,2,D-Major,-5.6579,1,0.0927,0.0336,0.0336,0.2883,0.604,139.9,231365,4,5010
SP-000003,Whispering Wind Live,Musician_Rock_012,Album_Musician_Rock_012_05,2014-04-25,Rock,100,False,0.6655,0.8499,0,C-Minor,-0.2148,0,0.0594,0.1528,0.2088,0.0391,0.5841,129.4,315373,4,22863
SP-000004,Emerald City Acoustic,Musician_Pop_010,Album_Musician_Pop_010_04,2023-09-20,Pop,72,False,0.7577,0.5973,8,G#-Major,-5.7299,1,0.0172,0.5854,0.0384,0.1943,0.6081,169.0,226000,4,8247
SP-000005,Crystal Rain Remix,Musician_Rock_014,Album_Musician_Rock_014_04,2022-08-30,Rock,36,False,0.3904,0.873,3,D#-Minor,-11.3363,0,0.022,0.3699,0.0634,0.2593,0.2277,64.6,140618,4,93586
SP-000006,Diamond Eyes,Musician_Pop_010,Album_Musician_Pop_010_07,2014-04-09,Pop,59,False,0.634,0.5048,4,E-Major,-5.9753,1,0.0455,0.3448,0.0,0.1443,0.5511,128.2,229977,4,8247
SP-000007,Silver Lining,Musician_Latin_016,Album_Musician_Latin_016_04,2016-08-31,Latin,71,False,0.8994,0.8027,11,B-Major,-9.61,1,0.0984,0.3908,0.0,0.0,0.7138,115.8,175420,4,1282
SP-000008,Silver Moon Remix,Musician_R&B_013,Album_Musician_R&B_013_02,2020-03-01,R&B,45,False,0.5351,0.3512,7,G-Minor,-12.4189,0,0.0522,0.4207,0.0,0.1181,0.4432,113.2,258903,4,15245
SP-000009,Rising Sun,Musician_Electronic_008,Album_Musician_Electronic_008_05,2014-03-01,Electronic,63,True,0.7986,1.0,9,A-Major,-7.5654,1,0.0745,0.1,0.2935,0.3163,0.5407,112.7,290999,4,37845
SP-000010,Moonlight Sonata,Musician_Hip-Hop_012,Album_Musician_Hip-Hop_012_04,2023-08-24,Hip-Hop,84,True,0.7412,0.4071,5,F-Major,-5.6114,1,0.2163,0.0426,0.0099,0.1897,0.507,102.8,204826,4,612061
SP-000011,Crystal Rain Extended Mix,Musician_Pop_006,Album_Musician_Pop_006_07,2016-05-01,Pop,68,False,0.484,0.5925,5,F-Major,-9.2146,1,0.0695,0.1348,0.04,0.3373,0.4907,76.8,215700,4,8967
SP-000012,Crimson Tide,Musician_Latin_011,Album_Musician_Latin_011_05,2015-07-20,Latin,48,False,0.6981,0.6795,10,A#-Minor,-2.6768,0,0.046,0.1657,0.016,0.3355,0.8435,145.6,194490,4,201416
SP-000013,Desert Storm,Musician_R&B_011,Album_Musician_R&B_011_01,2018-08-25,R&B,83,False,0.5044,0.6902,2,D-Major,-8.4552,1,0.1584,0.5325,0.0015,0.3897,0.6532,117.8,196606,4,2390
SP-000014,Ruby Tuesday Extended Mix,Musician_Metal_006,Album_Musician_Metal_006_06,2015-03-13,Metal,48,True,0.3341,0.9409,1,C#-Minor,-3.1506,0,0.0,0.0415,0.1179,0.2343,0.0871,143.1,233512,3,177596
SP-000015,Frozen Lake,Musician_R&B_012,Album_Musician_R&B_012_03,2015-08-31,R&B,95,False,0.6852,0.492,10,A#-Major,-10.2482,1,0.0466,0.5474,0.0,0.2417,0.5089,73.7,202217,4,8573
SP-000016,Sunset Boulevard,Musician_R&B_017,Album_Musician_R&B_017_06,2021-03-11,R&B,36,False,0.6157,0.6192,4,E-Minor,-11.1647,0,0.0349,0.4093,0.0213,0.0267,0.7035,87.9,235506,4,15164
SP-000017,Frozen Tears,Musician_Hip-Hop_014,Album_Musician_Hip-Hop_014_02,2015-09-12,Hip-Hop,61,False,0.7213,0.7766,7,G-Minor,-5.2984,0,0.2982,0.1789,0.0257,0.1942,0.7813,96.9,205911,4,8861
SP-000018,Fading Light,Musician_Rock_005,Album_Musician_Rock_005_07,2020-11-02,Rock,70,True,0.475,0.7354,8,G#-Major,-1.3025,1,0.0579,0.1679,0.0101,0.2312,0.805,145.8,246683,4,602
